full_path,relative_path,filename,year,date,DOY,MODIS_composite_index,tile_or_polygon_id,start_year,end_year,first_date,last_date,band_count,dtype,nodata,width,height,CRS,transform,pixel_size_x,pixel_size_y,bounds,grid_offset_x,grid_offset_y,compression,file_size_bytes,minimum,maximum,mean,valid_fraction,date_count,date_sequence_sha256,readable,error
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y020_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y020_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y020_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y020,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,684,679,EPSG:3035,"[4061000.0,250.0,0.0,3831000.0,0.0,-250.0]",250.0,250.0,"[4061000.0,3661250.0,4232000.0,3831000.0]",0.0,0.0,DEFLATE,36457013,-0.089,0.997,0.3688035005109556,0.0342642486013986,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y021_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y021_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y021_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y021,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,682,679,EPSG:3035,"[4083000.0,250.0,0.0,3683000.0,0.0,-250.0]",250.0,250.0,"[4083000.0,3513250.0,4253500.0,3683000.0]",0.0,0.0,DEFLATE,109236441,-0.121,0.997,0.3829571530381563,0.11086013031358885,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y022_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y022_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y022_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y022,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,681,680,EPSG:3035,"[4104500.0,250.0,0.0,3535000.0,0.0,-250.0]",250.0,250.0,"[4104500.0,3365000.0,4274750.0,3535000.0]",0.0,0.0,DEFLATE,181878115,-0.13,1.0,0.4370690973487613,0.19164712331010453,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y023_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y023_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y023_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y023,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,680,679,EPSG:3035,"[4125750.0,250.0,0.0,3386750.0,0.0,-250.0]",250.0,250.0,"[4125750.0,3217000.0,4295750.0,3386750.0]",0.0,0.0,DEFLATE,576897195,-0.188,1.0,0.4096335432900629,0.6783221132404181,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y024_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y024_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y024_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y024,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,679,680,EPSG:3035,"[4146750.0,250.0,0.0,3238500.0,0.0,-250.0]",250.0,250.0,"[4146750.0,3068500.0,4316500.0,3238500.0]",0.0,0.0,DEFLATE,552678783,-0.149,0.999,0.39066649862092157,0.654823076173913,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y025_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y025_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y025_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y025,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,678,679,EPSG:3035,"[4167500.0,250.0,0.0,3090000.0,0.0,-250.0]",250.0,250.0,"[4167500.0,2920250.0,4337000.0,3090000.0]",0.0,0.0,DEFLATE,576559819,-0.107,0.999,0.3742066649623236,0.6882604417391305,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y026_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y026_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y026_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y026,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,676,679,EPSG:3035,"[4188000.0,250.0,0.0,2941500.0,0.0,-250.0]",250.0,250.0,"[4188000.0,2771750.0,4357000.0,2941500.0]",0.0,0.0,DEFLATE,581803009,-0.072,0.999,0.38048892520254385,0.6963002206956522,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y027_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y027_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y027_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y027,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,675,679,EPSG:3035,"[4208250.0,250.0,0.0,2793000.0,0.0,-250.0]",250.0,250.0,"[4208250.0,2623250.0,4377000.0,2793000.0]",0.0,0.0,DEFLATE,494089537,-0.2,0.998,0.40968836295713623,0.5782035634782609,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y028_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y028_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y028_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y028,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,674,679,EPSG:3035,"[4228000.0,250.0,0.0,2644500.0,0.0,-250.0]",250.0,250.0,"[4228000.0,2474750.0,4396500.0,2644500.0]",0.0,0.0,DEFLATE,479409755,-0.2,0.998,0.31540288429669744,0.5551620869565218,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y029_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y029_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y029_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y029,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,672,679,EPSG:3035,"[4247750.0,250.0,0.0,2495750.0,0.0,-250.0]",250.0,250.0,"[4247750.0,2326000.0,4415750.0,2495750.0]",0.0,0.0,DEFLATE,627893653,-0.164,0.997,0.36096255342163264,0.742168,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
